Time.time,Fish.FishCount,Fish.FishCountMale,Fish.FishCountFemale,Fish.meanViewRadius,Fish.meanImpulseTime,Fish.meanKyuukaku,Fish.meanSoshakuJikan,Fish.meanMatingRestJikan,Fish.meanMatingAge,Fish.meanJumyo,Fish.meanPotentialBenefitOfMovement,Fish.meanMinimumEnergyToMate,Fish.meanMinimumLifeToEat,Fish.meanRelativeBenefitParameter,Fish.meanRelativeCostParameter,Fish.meanMinimumDistanceFromPredator
162.2293,9,5,4,2.714048,8.814027,36.6415,9.332871,6.979668,32.66179,168.1804,6.279244,20.53369,18.2453,0.03661253,0.03123782,2.919344
163.2328,9,5,4,2.714048,8.814027,36.6415,9.332871,6.979668,32.66179,168.1804,6.279244,20.53369,18.2453,0.03661253,0.03123782,2.919344
164.2467,9,5,4,2.714048,8.814027,36.6415,9.332871,6.979668,32.66179,168.1804,6.279244,20.53369,18.2453,0.03661253,0.03123782,2.919344
165.2695,7,4,3,2.821845,8.55201,38.45612,10.49151,7.568079,33.43584,169.1742,6.133193,21.11364,16.8673,0.04246746,0.02418198,2.993212
166.2929,7,4,3,2.821845,8.55201,38.45612,10.49151,7.568079,33.43584,169.1742,6.133193,21.11364,16.8673,0.04246746,0.02418198,2.993212
167.2982,7,4,3,2.821845,8.55201,38.45612,10.49151,7.568079,33.43584,169.1742,6.133193,21.11364,16.8673,0.04246746,0.02418198,2.993212
168.3176,7,4,3,2.821845,8.55201,38.45612,10.49151,7.568079,33.43584,169.1742,6.133193,21.11364,16.8673,0.04246746,0.02418198,2.993212
169.4146,8,5,3,2.839397,8.409902,35.36406,10.74547,8.308447,34.85878,173.6063,6.228819,19.04621,15.84846,0.03979661,0.02319104,3.550571
170.5451,8,5,3,2.839397,8.409902,35.36406,10.74547,8.308447,34.85878,173.6063,6.228819,19.04621,15.84846,0.03979661,0.02319104,3.550571
171.5704,8,5,3,2.839397,8.409902,35.36406,10.74547,8.308447,34.85878,173.6063,6.228819,19.04621,15.84846,0.03979661,0.02319104,3.550571
172.673,7,4,3,2.89962,7.999677,33.74153,11.3213,8.786553,34.84597,173.7485,6.390589,17.87762,13.9345,0.04310364,0.02438729,3.445106
